RowNumber,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
127272,Terrence Hayes,,,,,
127274,Loretta Smith,Deian Salazar,Doug Clove,David Linn,Joe Allen,Candace Avalos
127275,Loretta Smith,Terrence Hayes,Steph Routh,Jamie Dunphy,Michael (Mike) Sands,Deian Salazar
127276,Noah Ernst,,,,,
127280,Terrence Hayes,Jamie Dunphy,Timur Ender,Noah Ernst,,
127281,Noah Ernst,,,,,
127283,Noah Ernst,,,,,
127287,Timur Ender,Terrence Hayes,,,,
127307,Loretta Smith,Deian Salazar,Jamie Dunphy,,,
127308,Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
127321,Candace Avalos,Timur Ender,Loretta Smith,,,
127325,Steph Routh,Candace Avalos,Timur Ender,Loretta Smith,Terrence Hayes,
127329,Terrence Hayes,Noah Ernst,Loretta Smith,,,
127330,Timur Ender,Jamie Dunphy,,,,
127334,Jamie Dunphy,Candace Avalos,Timur Ender,Cayle Tern,Doug Clove,Joe Furi
127335,Doug Clove,Terrence Hayes,Noah Ernst,,,
127336,Jamie Dunphy,Candace Avalos,Timur Ender,Cayle Tern,Doug Clove,Joe Furi
127342,David Linn,Joe Allen,Candace Avalos,Noah Ernst,Timur Ender,Peggy Sue Owens
127344,Timur Ender,Candace Avalos,Cayle Tern,David Linn,,
127347,Loretta Smith,,,,,
127348,Candace Avalos,Steph Routh,Michael (Mike) Sands,,,
127349,Timur Ender,Doug Clove,Loretta Smith,,,
127350,Loretta Smith,Jamie Dunphy,Noah Ernst,,,
127351,Jamie Dunphy,Candace Avalos,Steph Routh,,,
127358,Noah Ernst,Thomas Shervey,Jamie Dunphy,Timur Ender,,
127362,Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,Write-in-120
127364,Joe Allen,Timur Ender,Jamie Dunphy,,,
127373,Steph Routh,Timur Ender,Noah Ernst,Joe Allen,David Linn,Cayle Tern
127380,Steph Routh,Jamie Dunphy,Candace Avalos,,,
127381,Doug Clove,,,,,
127388,Loretta Smith,David Linn,Cayle Tern,Joe Allen,Timur Ender,Noah Ernst
127390,Michael (Mike) Sands,Noah Ernst,Terrence Hayes,Steph Routh,Jamie Dunphy,David Linn
127398,Steph Routh,Noah Ernst,Terrence Hayes,Candace Avalos,Loretta Smith,Jamie Dunphy
127400,Timur Ender,,,,,
127404,Joe Furi,Timur Ender,Noah Ernst,Joe Allen,,
127405,Terrence Hayes,Loretta Smith,Steph Routh,Timur Ender,Jamie Dunphy,
127407,Jamie Dunphy,Candace Avalos,Timur Ender,Cayle Tern,Doug Clove,Joe Furi
127409,Joe Allen,David Linn,Doug Clove,Michael (Mike) Sands,Thomas Shervey,
127424,Candace Avalos,Cayle Tern,Timur Ender,Steph Routh,Loretta Smith,David Linn
127425,Candace Avalos,Loretta Smith,Steph Routh,,,
127427,Loretta Smith,Deian Salazar,Candace Avalos,Terrence Hayes,Noah Ernst,
127430,Loretta Smith,David Linn,Cayle Tern,Timur Ender,Michael (Mike) Sands,Candace Avalos
127431,Steph Routh,Joe Furi,Candace Avalos,,,
127433,Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,,
127434,Doug Clove,Candace Avalos,David Linn,Deian Salazar,Loretta Smith,Terrence Hayes
127435,Terrence Hayes,Michael (Mike) Sands,Joe Furi,Joe Allen,Cayle Tern,Candace Avalos
127437,Jamie Dunphy,Loretta Smith,Terrence Hayes,,,
127441,Candace Avalos,Steph Routh,Doug Clove,Terrence Hayes,Joe Allen,Loretta Smith
127443,Candace Avalos,Terrence Hayes,Thomas Shervey,Loretta Smith,Steph Routh,Doug Clove
127445,Noah Ernst,Timur Ender,Steph Routh,David Linn,,
127449,Terrence Hayes,Noah Ernst,,,,
127451,Loretta Smith,,,,,
127460,Candace Avalos,Steph Routh,Timur Ender,,,
127470,Loretta Smith,Noah Ernst,Terrence Hayes,Steph Routh,Timur Ender,Michael (Mike) Sands
127481,Terrence Hayes,Noah Ernst,Joe Furi,Loretta Smith,Doug Clove,David Linn
127482,Loretta Smith,,,,,
127485,Terrence Hayes,Noah Ernst,,,,
127509,Candace Avalos,Cayle Tern,Timur Ender,,,
127510,Noah Ernst,Joe Allen,Jamie Dunphy,Thomas Shervey,Deian Salazar,Cayle Tern
127511,Steph Routh,Timur Ender,Candace Avalos,,,
127513,Candace Avalos,Cayle Tern,Steph Routh,,,
127514,Peggy Sue Owens,,,,,
127521,Deian Salazar,,,,,
127524,Loretta Smith,,,,,
127530,Steph Routh,,,,,
127533,Steph Routh,,,,,
127541,Candace Avalos,Timur Ender,Terrence Hayes,Loretta Smith,Steph Routh,Deian Salazar
127554,Michael (Mike) Sands,Doug Clove,Joe Allen,Jamie Dunphy,Peggy Sue Owens,Noah Ernst
127557,Terrence Hayes,,,,,
127560,Jamie Dunphy,,,,,
127566,Doug Clove,Joe Furi,Terrence Hayes,Thomas Shervey,Jamie Dunphy,
127573,Candace Avalos,Timur Ender,Steph Routh,Cayle Tern,Jamie Dunphy,Thomas Shervey
127574,Thomas Shervey,Steph Routh,Jamie Dunphy,Candace Avalos,,
127575,Deian Salazar,Joe Furi,Joe Allen,Terrence Hayes,Loretta Smith,Jamie Dunphy
127579,Noah Ernst,Thomas Shervey,Jamie Dunphy,Timur Ender,,
127587,Doug Clove,,,,,
127588,Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,Loretta Smith,Terrence Hayes
127590,Terrence Hayes,Steph Routh,Loretta Smith,Candace Avalos,Jamie Dunphy,Joe Allen
127591,Loretta Smith,Steph Routh,Terrence Hayes,Doug Clove,Candace Avalos,Jamie Dunphy
127597,Deian Salazar,Joe Furi,Noah Ernst,Joe Allen,Steph Routh,Timur Ender
127602,Terrence Hayes,Noah Ernst,Candace Avalos,Loretta Smith,Jamie Dunphy,Timur Ender
127605,Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
127607,Joe Allen,Candace Avalos,Timur Ender,Deian Salazar,David Linn,Steph Routh
127612,Loretta Smith,,,,,
127615,Timur Ender,Jamie Dunphy,Terrence Hayes,Loretta Smith,Steph Routh,
127620,Jamie Dunphy,Timur Ender,Loretta Smith,Thomas Shervey,Terrence Hayes,
127623,Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,David Linn,Cayle Tern
127633,Steph Routh,Loretta Smith,Peggy Sue Owens,,,
127634,Loretta Smith,Terrence Hayes,Jamie Dunphy,,,
127635,Candace Avalos,Joe Allen,Michael (Mike) Sands,Loretta Smith,Terrence Hayes,Jamie Dunphy
127636,Michael (Mike) Sands,Candace Avalos,Loretta Smith,Jamie Dunphy,Steph Routh,Joe Allen
127643,Loretta Smith,,,,,
127644,Jamie Dunphy,Steph Routh,,,,
127646,Michael (Mike) Sands,,,,,
127648,Candace Avalos,Steph Routh,Timur Ender,David Linn,Jamie Dunphy,Joe Allen
127650,Candace Avalos,Steph Routh,Timur Ender,,,
127679,Loretta Smith,Candace Avalos,Steph Routh,Doug Clove,,
127692,Jamie Dunphy,,,,,
127693,Steph Routh,Joe Allen,,,,
127694,Timur Ender,Steph Routh,,,,
127695,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
127698,Terrence Hayes,Loretta Smith,,,,
127701,Peggy Sue Owens,Loretta Smith,Jamie Dunphy,Candace Avalos,Cayle Tern,Noah Ernst
127702,Terrence Hayes,Noah Ernst,Candace Avalos,,,
127703,Terrence Hayes,,,,,
127704,Steph Routh,Timur Ender,Candace Avalos,Loretta Smith,Terrence Hayes,Jamie Dunphy
127708,Jamie Dunphy,Candace Avalos,Steph Routh,Loretta Smith,Terrence Hayes,Doug Clove
127710,,,,,,
127711,Noah Ernst,Loretta Smith,Steph Routh,Timur Ender,,
127712,Jamie Dunphy,Candace Avalos,Steph Routh,Cayle Tern,Timur Ender,Loretta Smith
127714,Jamie Dunphy,Steph Routh,,,,
127717,Loretta Smith,Terrence Hayes,Steph Routh,Jamie Dunphy,Candace Avalos,Cayle Tern
127721,Loretta Smith,Terrence Hayes,Steph Routh,Candace Avalos,Cayle Tern,David Linn
127723,Loretta Smith,Candace Avalos,Doug Clove,Deian Salazar,Terrence Hayes,Jamie Dunphy
127724,Joe Allen,Terrence Hayes,Jamie Dunphy,,,
127725,Loretta Smith,Terrence Hayes,Jamie Dunphy,Peggy Sue Owens,Cayle Tern,Noah Ernst
127741,Loretta Smith,Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,
127743,Candace Avalos,Timur Ender,Jamie Dunphy,,,
127744,Terrence Hayes,Timur Ender,,,,
127745,Terrence Hayes,Timur Ender,Michael (Mike) Sands,,,
127749,Candace Avalos,,,,,
127752,Loretta Smith,Terrence Hayes,Steph Routh,Timur Ender,Candace Avalos,Cayle Tern
127754,,,,,,
127755,Michael (Mike) Sands,,,,,
127758,Terrence Hayes,Loretta Smith,Noah Ernst,Peggy Sue Owens,Candace Avalos,Steph Routh
127776,Terrence Hayes,Jamie Dunphy,Cayle Tern,Michael (Mike) Sands,David Linn,Loretta Smith
127793,Noah Ernst,Joe Allen,Doug Clove,Deian Salazar,Jamie Dunphy,Steph Routh
127797,Noah Ernst,Terrence Hayes,Loretta Smith,,,
127798,Candace Avalos,Terrence Hayes,Doug Clove,Loretta Smith,Timur Ender,Joe Allen
127800,Candace Avalos,Terrence Hayes,Doug Clove,Loretta Smith,Timur Ender,Joe Allen
127802,Candace Avalos,Noah Ernst,Thomas Shervey,Jamie Dunphy,Loretta Smith,Joe Furi
127819,Joe Furi,Noah Ernst,Jamie Dunphy,Cayle Tern,Deian Salazar,Joe Allen
127835,Noah Ernst,,,,,
127842,Candace Avalos,Cayle Tern,Timur Ender,Jamie Dunphy,Steph Routh,David Linn
127861,Terrence Hayes,,,,,
127863,Candace Avalos,Steph Routh,Timur Ender,,,
127864,Noah Ernst,Doug Clove,,,,
127866,Noah Ernst,Doug Clove,Loretta Smith,Deian Salazar,Joe Furi,Joe Allen
127870,Loretta Smith,,,,,
127871,Steph Routh,Loretta Smith,Noah Ernst,Terrence Hayes,,
127874,Noah Ernst,,,,,
127882,Loretta Smith,Peggy Sue Owens,Joe Furi,,,
127883,Candace Avalos,Loretta Smith,Steph Routh,Timur Ender,Thomas Shervey,Jamie Dunphy
127896,Doug Clove,Loretta Smith,,,,
127906,Timur Ender,Candace Avalos,Steph Routh,Jamie Dunphy,,
127907,Noah Ernst,David Linn,Joe Furi,Peggy Sue Owens,Joe Allen,Terrence Hayes
127920,Terrence Hayes,,,,,
127924,Terrence Hayes,Noah Ernst,,,,
127927,,,,,,
127928,Terrence Hayes,Noah Ernst,Loretta Smith,,,
127946,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
127952,Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,Loretta Smith,Terrence Hayes
127959,Terrence Hayes,Steph Routh,Loretta Smith,Candace Avalos,Jamie Dunphy,Joe Allen
127960,Noah Ernst,Terrence Hayes,Loretta Smith,,,
127968,Jamie Dunphy,Candace Avalos,Steph Routh,David Linn,Loretta Smith,
127970,Doug Clove,Deian Salazar,Timur Ender,Candace Avalos,Steph Routh,Joe Allen
127978,Loretta Smith,Thomas Shervey,Steph Routh,,,
127982,Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
127983,Noah Ernst,Deian Salazar,Peggy Sue Owens,Steph Routh,Write-in-120,Doug Clove
127984,Jamie Dunphy,Steph Routh,Thomas Shervey,Loretta Smith,Doug Clove,David Linn
127985,Peggy Sue Owens,,,,,
127991,Timur Ender,Steph Routh,Jamie Dunphy,David Linn,Loretta Smith,Terrence Hayes
127998,Peggy Sue Owens,Loretta Smith,Jamie Dunphy,Candace Avalos,Timur Ender,
127999,Loretta Smith,Terrence Hayes,David Linn,,,
128001,Timur Ender,Jamie Dunphy,Steph Routh,Cayle Tern,,
128004,Jamie Dunphy,Steph Routh,Candace Avalos,Timur Ender,Loretta Smith,
128005,Michael (Mike) Sands,,,,,
128041,Loretta Smith,Steph Routh,Terrence Hayes,Timur Ender,Cayle Tern,Michael (Mike) Sands
128056,Joe Allen,Joe Furi,,,,
128060,Steph Routh,,,,,
128069,Loretta Smith,Steph Routh,Terrence Hayes,,,
128087,Terrence Hayes,Noah Ernst,Joe Furi,Loretta Smith,Doug Clove,
128088,Jamie Dunphy,Steph Routh,Candace Avalos,Loretta Smith,,
128089,Timur Ender,,,,,
128091,Candace Avalos,Loretta Smith,Jamie Dunphy,Terrence Hayes,David Linn,Cayle Tern
128092,Joe Allen,David Linn,Michael (Mike) Sands,Timur Ender,Doug Clove,Terrence Hayes
128094,Noah Ernst,Deian Salazar,Terrence Hayes,Joe Allen,Doug Clove,Steph Routh
128096,Jamie Dunphy,Steph Routh,,,,
128099,Steph Routh,Jamie Dunphy,Doug Clove,Timur Ender,,
128103,Terrence Hayes,Noah Ernst,Loretta Smith,,,
128105,Noah Ernst,Doug Clove,Loretta Smith,Terrence Hayes,Deian Salazar,Joe Allen
128106,Steph Routh,Loretta Smith,Doug Clove,Terrence Hayes,Thomas Shervey,
128115,Loretta Smith,Steph Routh,,,,
128121,Jamie Dunphy,Loretta Smith,Terrence Hayes,Steph Routh,Candace Avalos,Timur Ender
128128,Steph Routh,,,,,
128130,Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,Deian Salazar
128164,Loretta Smith,,,,,
128216,Doug Clove,Loretta Smith,Jamie Dunphy,Candace Avalos,Cayle Tern,Peggy Sue Owens
128244,Cayle Tern,Jamie Dunphy,Joe Allen,David Linn,Terrence Hayes,
128251,Jamie Dunphy,Loretta Smith,Steph Routh,David Linn,Thomas Shervey,Peggy Sue Owens
128255,Doug Clove,,,,,
128260,Candace Avalos,Loretta Smith,Terrence Hayes,Steph Routh,Jamie Dunphy,Deian Salazar
128261,Timur Ender,Joe Allen,Candace Avalos,David Linn,Terrence Hayes,Michael (Mike) Sands
128264,Loretta Smith,Doug Clove,Jamie Dunphy,Candace Avalos,Michael (Mike) Sands,Peggy Sue Owens
128265,Jamie Dunphy,Noah Ernst,Terrence Hayes,,,
128269,Loretta Smith,Terrence Hayes,Noah Ernst,Steph Routh,Jamie Dunphy,Peggy Sue Owens
128273,Timur Ender,David Linn,Candace Avalos,Loretta Smith,Terrence Hayes,Steph Routh
128274,Jamie Dunphy,Terrence Hayes,Noah Ernst,Doug Clove,,
128275,Noah Ernst,Jamie Dunphy,,,,
128277,David Linn,Candace Avalos,Timur Ender,Cayle Tern,Deian Salazar,Steph Routh
128278,Jamie Dunphy,Candace Avalos,Steph Routh,David Linn,Deian Salazar,Loretta Smith
128279,Loretta Smith,Peggy Sue Owens,Candace Avalos,Cayle Tern,Noah Ernst,Michael (Mike) Sands
128282,Loretta Smith,Timur Ender,Steph Routh,Michael (Mike) Sands,Jamie Dunphy,Joe Allen
128367,Candace Avalos,Cayle Tern,David Linn,Steph Routh,Jamie Dunphy,
128416,Loretta Smith,Candace Avalos,Joe Allen,Noah Ernst,Timur Ender,Deian Salazar
128450,Steph Routh,Candace Avalos,Timur Ender,,,
128459,Noah Ernst,,,,,
128461,Loretta Smith,Noah Ernst,Joe Allen,Michael (Mike) Sands,Peggy Sue Owens,Doug Clove
128466,Jamie Dunphy,Candace Avalos,Timur Ender,Cayle Tern,,
128467,Steph Routh,Loretta Smith,Candace Avalos,Noah Ernst,Terrence Hayes,Jamie Dunphy
128468,Steph Routh,Loretta Smith,Candace Avalos,Timur Ender,Terrence Hayes,Jamie Dunphy
128470,Steph Routh,Jamie Dunphy,Terrence Hayes,Loretta Smith,Candace Avalos,Cayle Tern
128608,Terrence Hayes,Candace Avalos,Steph Routh,Timur Ender,,
128620,Jamie Dunphy,Candace Avalos,,,,
128694,Timur Ender,Jamie Dunphy,Candace Avalos,Steph Routh,Cayle Tern,David Linn
128743,Candace Avalos,Timur Ender,Terrence Hayes,Steph Routh,,
128761,Jamie Dunphy,Candace Avalos,Steph Routh,,,
128767,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
128780,Loretta Smith,Thomas Shervey,Jamie Dunphy,,,
128847,Jamie Dunphy,Steph Routh,,,,
128875,Terrence Hayes,Noah Ernst,Joe Furi,Loretta Smith,Doug Clove,Write-in-120
128889,Peggy Sue Owens,,,,,
128929,Loretta Smith,Terrence Hayes,Michael (Mike) Sands,Candace Avalos,Noah Ernst,Peggy Sue Owens
128939,David Linn,,,,,
128973,Steph Routh,,,,,
129039,Terrence Hayes,Loretta Smith,Noah Ernst,Doug Clove,Cayle Tern,
129075,Timur Ender,Noah Ernst,Deian Salazar,Loretta Smith,Terrence Hayes,
129081,Timur Ender,Jamie Dunphy,Candace Avalos,Loretta Smith,Deian Salazar,Terrence Hayes
129089,Peggy Sue Owens,Timur Ender,Noah Ernst,Candace Avalos,Joe Allen,David Linn
129092,Peggy Sue Owens,Noah Ernst,Joe Furi,Deian Salazar,Loretta Smith,Steph Routh
129093,Loretta Smith,Steph Routh,Timur Ender,Jamie Dunphy,,
129113,David Linn,Candace Avalos,Loretta Smith,Terrence Hayes,,
129125,Noah Ernst,Doug Clove,Terrence Hayes,,,
129158,Candace Avalos,Jamie Dunphy,Steph Routh,Loretta Smith,Peggy Sue Owens,Noah Ernst
129180,Noah Ernst,Steph Routh,Terrence Hayes,Deian Salazar,Joe Furi,Doug Clove
129190,Loretta Smith,Candace Avalos,Steph Routh,Cayle Tern,Timur Ender,
129217,Loretta Smith,Steph Routh,Timur Ender,Michael (Mike) Sands,Cayle Tern,Jamie Dunphy
129223,Jamie Dunphy,Steph Routh,Timur Ender,,,
129245,David Linn,Terrence Hayes,Timur Ender,Noah Ernst,,
129253,Steph Routh,Doug Clove,Terrence Hayes,Jamie Dunphy,Loretta Smith,Candace Avalos
129265,Candace Avalos,Cayle Tern,Timur Ender,,,
129267,Candace Avalos,Loretta Smith,Jamie Dunphy,Peggy Sue Owens,Noah Ernst,Cayle Tern
129268,Noah Ernst,Loretta Smith,Candace Avalos,Michael (Mike) Sands,Joe Allen,David Linn
129269,Noah Ernst,David Linn,Steph Routh,,,
129270,Candace Avalos,Timur Ender,Steph Routh,Loretta Smith,Terrence Hayes,Doug Clove
129271,Timur Ender,Steph Routh,Terrence Hayes,Joe Allen,Candace Avalos,
129272,Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,David Linn,Cayle Tern
129276,Steph Routh,Loretta Smith,Terrence Hayes,,,
129278,Steph Routh,Jamie Dunphy,Terrence Hayes,,,
129283,Michael (Mike) Sands,Joe Allen,Noah Ernst,David Linn,Doug Clove,Deian Salazar
129285,Loretta Smith,,,,,
129290,Timur Ender,Steph Routh,Thomas Shervey,Jamie Dunphy,Candace Avalos,Loretta Smith
129304,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,Loretta Smith,David Linn
129305,Steph Routh,Doug Clove,Terrence Hayes,Jamie Dunphy,Loretta Smith,Candace Avalos
129329,Terrence Hayes,Noah Ernst,Steph Routh,,,
129356,Terrence Hayes,Loretta Smith,Jamie Dunphy,Noah Ernst,Timur Ender,Steph Routh
129357,Doug Clove,Candace Avalos,David Linn,Deian Salazar,Loretta Smith,Terrence Hayes
129369,Steph Routh,Terrence Hayes,Jamie Dunphy,Thomas Shervey,Loretta Smith,Michael (Mike) Sands
129417,Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,Loretta Smith,Cayle Tern
129424,Candace Avalos,Jamie Dunphy,Steph Routh,,,
129427,Noah Ernst,,,,,
129430,,,,,,
129431,Loretta Smith,Steph Routh,Timur Ender,Jamie Dunphy,,
129444,Peggy Sue Owens,Timur Ender,Noah Ernst,Candace Avalos,Joe Allen,David Linn
129446,Steph Routh,Loretta Smith,,,,
129463,Jamie Dunphy,Steph Routh,Timur Ender,,,
129465,Terrence Hayes,Noah Ernst,Doug Clove,Deian Salazar,,
129466,Doug Clove,Joe Furi,Deian Salazar,Loretta Smith,Thomas Shervey,Terrence Hayes
129475,Candace Avalos,Steph Routh,Jamie Dunphy,,,
129506,David Linn,Loretta Smith,Timur Ender,Steph Routh,Jamie Dunphy,Terrence Hayes
129512,Candace Avalos,Timur Ender,Loretta Smith,Terrence Hayes,Cayle Tern,Deian Salazar
129514,Doug Clove,Loretta Smith,Terrence Hayes,Steph Routh,Cayle Tern,Candace Avalos
129516,Steph Routh,Candace Avalos,Jamie Dunphy,Timur Ender,Noah Ernst,Loretta Smith
129519,Doug Clove,Joe Furi,Deian Salazar,Loretta Smith,Thomas Shervey,Terrence Hayes
129533,Joe Allen,David Linn,Doug Clove,Michael (Mike) Sands,Thomas Shervey,Timur Ender
129564,Candace Avalos,,,,,
129568,Peggy Sue Owens,Loretta Smith,Jamie Dunphy,,,
129570,Steph Routh,Jamie Dunphy,Candace Avalos,,,
129573,Steph Routh,Candace Avalos,,,,
129575,Loretta Smith,Terrence Hayes,Steph Routh,,,
129585,Doug Clove,Steph Routh,Loretta Smith,David Linn,Noah Ernst,Joe Allen
129586,Peggy Sue Owens,Noah Ernst,Deian Salazar,Loretta Smith,Terrence Hayes,Joe Allen
129589,,,,,,
129594,Noah Ernst,,,,,
129612,Candace Avalos,Jamie Dunphy,Steph Routh,,,
129636,,,,,,
129639,Loretta Smith,Candace Avalos,David Linn,Michael (Mike) Sands,Terrence Hayes,Doug Clove
129641,Jamie Dunphy,,,,,
129642,Timur Ender,Jamie Dunphy,Steph Routh,David Linn,Michael (Mike) Sands,Candace Avalos
129655,,,,,,
129656,Terrence Hayes,,,,,
129658,Cayle Tern,Terrence Hayes,Joe Allen,,,
129659,Candace Avalos,Loretta Smith,Steph Routh,Terrence Hayes,Jamie Dunphy,
129662,Terrence Hayes,Noah Ernst,Candace Avalos,Deian Salazar,Steph Routh,Timur Ender
129664,Candace Avalos,Steph Routh,Terrence Hayes,Timur Ender,Jamie Dunphy,
129686,David Linn,Noah Ernst,,,,
129691,Loretta Smith,Deian Salazar,Timur Ender,Doug Clove,Jamie Dunphy,Terrence Hayes
129715,David Linn,Steph Routh,Terrence Hayes,Michael (Mike) Sands,Loretta Smith,Deian Salazar
129724,Loretta Smith,Deian Salazar,Terrence Hayes,Timur Ender,,
129761,Terrence Hayes,,,,,
129764,Timur Ender,Joe Furi,David Linn,Candace Avalos,Noah Ernst,Joe Allen
129771,Loretta Smith,,,,,
129773,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
129785,Jamie Dunphy,Cayle Tern,Joe Allen,Steph Routh,Peggy Sue Owens,David Linn
129790,Joe Allen,,,,,
129792,Michael (Mike) Sands,,,,,
129797,Loretta Smith,Terrence Hayes,Jamie Dunphy,Steph Routh,David Linn,Cayle Tern
129800,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
129829,Candace Avalos,Steph Routh,Timur Ender,,,
129831,Steph Routh,Timur Ender,Candace Avalos,Jamie Dunphy,,
129833,Steph Routh,Terrence Hayes,Candace Avalos,Cayle Tern,Loretta Smith,
129834,,,,,,
129839,Steph Routh,David Linn,Michael (Mike) Sands,Candace Avalos,Peggy Sue Owens,Cayle Tern
129849,David Linn,,,,,
129865,Candace Avalos,Timur Ender,Steph Routh,Loretta Smith,,
129876,Loretta Smith,Terrence Hayes,,,,
129879,Steph Routh,Timur Ender,Jamie Dunphy,Terrence Hayes,,
129880,Candace Avalos,Timur Ender,Steph Routh,,,
129881,Jamie Dunphy,Noah Ernst,Candace Avalos,David Linn,,
129883,Michael (Mike) Sands,Deian Salazar,David Linn,Joe Furi,Thomas Shervey,Joe Allen
129885,Steph Routh,Candace Avalos,Jamie Dunphy,Timur Ender,,
129886,Noah Ernst,Deian Salazar,Joe Allen,Loretta Smith,Doug Clove,Terrence Hayes
129894,Noah Ernst,Thomas Shervey,Jamie Dunphy,Deian Salazar,Doug Clove,Cayle Tern
129896,Noah Ernst,Candace Avalos,Joe Allen,David Linn,Cayle Tern,Doug Clove
129898,Candace Avalos,Cayle Tern,Timur Ender,,,
129899,Noah Ernst,David Linn,Doug Clove,,,
129900,Loretta Smith,Joe Allen,Joe Furi,,,
129916,Steph Routh,Candace Avalos,Michael (Mike) Sands,David Linn,Loretta Smith,
129917,Loretta Smith,Candace Avalos,Noah Ernst,Steph Routh,,
129922,Candace Avalos,Loretta Smith,Deian Salazar,Peggy Sue Owens,Steph Routh,Jamie Dunphy
129923,Loretta Smith,Terrence Hayes,Jamie Dunphy,Steph Routh,David Linn,Cayle Tern
129924,Steph Routh,Loretta Smith,Candace Avalos,,,
129925,Peggy Sue Owens,Doug Clove,,,,
129953,Doug Clove,Noah Ernst,Loretta Smith,,,
129955,Deian Salazar,Steph Routh,,,,
129956,Doug Clove,,,,,
129960,Noah Ernst,,,,,
129983,Candace Avalos,Doug Clove,Terrence Hayes,Steph Routh,David Linn,Jamie Dunphy
130014,Jamie Dunphy,Cayle Tern,,,,
130020,Terrence Hayes,Timur Ender,Steph Routh,Jamie Dunphy,Candace Avalos,Loretta Smith
130023,Loretta Smith,Doug Clove,Deian Salazar,Steph Routh,Jamie Dunphy,Candace Avalos
130036,Candace Avalos,,,,,
130037,Timur Ender,Thomas Shervey,Terrence Hayes,Steph Routh,,
130038,Loretta Smith,,,,,
130039,Candace Avalos,Loretta Smith,Steph Routh,Timur Ender,Jamie Dunphy,Cayle Tern
130041,Loretta Smith,Candace Avalos,Joe Furi,Terrence Hayes,Deian Salazar,Cayle Tern
130044,,,,,,
130046,Loretta Smith,Timur Ender,David Linn,Jamie Dunphy,Noah Ernst,Terrence Hayes
130047,Michael (Mike) Sands,Thomas Shervey,Jamie Dunphy,,,
130048,Loretta Smith,Terrence Hayes,Timur Ender,Cayle Tern,,
130049,Loretta Smith,Timur Ender,David Linn,Jamie Dunphy,Noah Ernst,Terrence Hayes
130050,Doug Clove,Deian Salazar,Thomas Shervey,Terrence Hayes,Steph Routh,
130052,Steph Routh,Loretta Smith,Terrence Hayes,Candace Avalos,Peggy Sue Owens,Cayle Tern
130056,Doug Clove,Steph Routh,Terrence Hayes,,,
130057,Doug Clove,Noah Ernst,,,,
130058,Timur Ender,Candace Avalos,Terrence Hayes,Steph Routh,Jamie Dunphy,
130067,Timur Ender,Cayle Tern,Candace Avalos,,,
130068,Peggy Sue Owens,Joe Allen,Write-in-122,Joe Furi,Terrence Hayes,
130070,Timur Ender,Terrence Hayes,Loretta Smith,,,
130073,Steph Routh,Jamie Dunphy,Loretta Smith,Deian Salazar,Terrence Hayes,Cayle Tern
130074,Doug Clove,Noah Ernst,Deian Salazar,,,
130085,Doug Clove,,,,,
130088,Loretta Smith,Michael (Mike) Sands,Peggy Sue Owens,Candace Avalos,Terrence Hayes,Jamie Dunphy
130096,Steph Routh,Terrence Hayes,Loretta Smith,Noah Ernst,,
130098,Candace Avalos,Steph Routh,Michael (Mike) Sands,Cayle Tern,Thomas Shervey,Jamie Dunphy
130101,Candace Avalos,Joe Allen,,,,
130102,Noah Ernst,Terrence Hayes,Jamie Dunphy,,,
130103,Loretta Smith,,,,,
130106,Michael (Mike) Sands,,,,,
130114,Candace Avalos,Steph Routh,Doug Clove,Terrence Hayes,Joe Allen,Loretta Smith
130128,Loretta Smith,Noah Ernst,Terrence Hayes,Peggy Sue Owens,,
130141,Noah Ernst,Jamie Dunphy,Deian Salazar,Terrence Hayes,Candace Avalos,Loretta Smith
130142,Jamie Dunphy,Steph Routh,Loretta Smith,Timur Ender,Joe Allen,Candace Avalos
130147,Candace Avalos,Loretta Smith,Timur Ender,Jamie Dunphy,Steph Routh,Terrence Hayes
130148,Loretta Smith,,,,,
130150,Noah Ernst,,,,,
130154,Noah Ernst,,,,,
