Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
Timur Ender,Michael (Mike) Sands,Steph Routh,,,
Terrence Hayes,Noah Ernst,Joe Furi,Loretta Smith,Doug Clove,Write-in-120
Candace Avalos,Cayle Tern,Timur Ender,,,
Candace Avalos,Jamie Dunphy,Timur Ender,Doug Clove,Steph Routh,
Loretta Smith,Jamie Dunphy,Joe Allen,Terrence Hayes,Timur Ender,Peggy Sue Owens
Timur Ender,Candace Avalos,Jamie Dunphy,Deian Salazar,Cayle Tern,Loretta Smith
Candace Avalos,Steph Routh,Timur Ender,Loretta Smith,Cayle Tern,Terrence Hayes
Candace Avalos,Timur Ender,,,,
Candace Avalos,Steph Routh,Timur Ender,,,
Loretta Smith,Steph Routh,Michael (Mike) Sands,Candace Avalos,Peggy Sue Owens,David Linn
Jamie Dunphy,Candace Avalos,Loretta Smith,Deian Salazar,Timur Ender,Peggy Sue Owens
Candace Avalos,Peggy Sue Owens,David Linn,Deian Salazar,Loretta Smith,Cayle Tern
Terrence Hayes,Timur Ender,Thomas Shervey,,,
Noah Ernst,Doug Clove,Loretta Smith,Steph Routh,Jamie Dunphy,
Timur Ender,Candace Avalos,Steph Routh,,,
Loretta Smith,Candace Avalos,Timur Ender,Cayle Tern,,
Joe Allen,,,,,
Loretta Smith,Steph Routh,Jamie Dunphy,Candace Avalos,Timur Ender,Joe Allen
Candace Avalos,Cayle Tern,Timur Ender,,,
Loretta Smith,Timur Ender,Jamie Dunphy,,,
Jamie Dunphy,David Linn,Joe Allen,Doug Clove,Michael (Mike) Sands,Thomas Shervey
Doug Clove,Terrence Hayes,Thomas Shervey,Steph Routh,Michael (Mike) Sands,Joe Furi
Loretta Smith,Steph Routh,Timur Ender,Jamie Dunphy,,
Loretta Smith,Doug Clove,,,,
Terrence Hayes,Timur Ender,Deian Salazar,,,
Loretta Smith,Steph Routh,Noah Ernst,Cayle Tern,Timur Ender,David Linn
Noah Ernst,,,,,
Loretta Smith,Steph Routh,Timur Ender,David Linn,Candace Avalos,
Joe Allen,Loretta Smith,,,,
Loretta Smith,,,,,
Loretta Smith,Jamie Dunphy,Terrence Hayes,Deian Salazar,Joe Furi,Candace Avalos
Jamie Dunphy,David Linn,Doug Clove,Michael (Mike) Sands,Loretta Smith,Thomas Shervey
Candace Avalos,Loretta Smith,Terrence Hayes,Cayle Tern,,
Candace Avalos,Timur Ender,Cayle Tern,David Linn,Jamie Dunphy,Steph Routh
Timur Ender,Steph Routh,Jamie Dunphy,,,
Candace Avalos,Jamie Dunphy,Steph Routh,David Linn,Cayle Tern,Timur Ender
Terrence Hayes,Candace Avalos,Noah Ernst,Loretta Smith,Steph Routh,Jamie Dunphy
Noah Ernst,Terrence Hayes,Loretta Smith,,,
Candace Avalos,Joe Furi,Michael (Mike) Sands,Thomas Shervey,Loretta Smith,Terrence Hayes
Loretta Smith,,,,,
Candace Avalos,Terrence Hayes,Loretta Smith,Steph Routh,Jamie Dunphy,Deian Salazar
Terrence Hayes,Noah Ernst,Doug Clove,,,
Jamie Dunphy,Steph Routh,Candace Avalos,,,
David Linn,Michael (Mike) Sands,Joe Allen,Terrence Hayes,,
Loretta Smith,Timur Ender,Terrence Hayes,Candace Avalos,David Linn,Joe Furi
Joe Allen,Timur Ender,Noah Ernst,Candace Avalos,Doug Clove,David Linn
Timur Ender,Terrence Hayes,Steph Routh,Deian Salazar,Loretta Smith,Jamie Dunphy
,,,,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Timur Ender,David Linn,Peggy Sue Owens,Deian Salazar,Terrence Hayes,Jamie Dunphy
,,,,,
Timur Ender,Candace Avalos,Deian Salazar,,,
Candace Avalos,Terrence Hayes,Jamie Dunphy,Steph Routh,,
Write-in-120,,,,,
Noah Ernst,,,,,
Timur Ender,Michael (Mike) Sands,Joe Furi,Candace Avalos,Cayle Tern,Jamie Dunphy
Candace Avalos,Cayle Tern,Timur Ender,Jamie Dunphy,Steph Routh,David Linn
Timur Ender,Candace Avalos,David Linn,Cayle Tern,,
Candace Avalos,Thomas Shervey,Jamie Dunphy,Loretta Smith,Steph Routh,Terrence Hayes
Jamie Dunphy,Joe Allen,Michael (Mike) Sands,Noah Ernst,Doug Clove,
Timur Ender,Candace Avalos,David Linn,Cayle Tern,Loretta Smith,
Timur Ender,Candace Avalos,Steph Routh,Jamie Dunphy,,
Jamie Dunphy,Steph Routh,Candace Avalos,Noah Ernst,Cayle Tern,
Loretta Smith,Terrence Hayes,Steph Routh,Candace Avalos,David Linn,Timur Ender
Timur Ender,,,,,
Terrence Hayes,Candace Avalos,Cayle Tern,,,
Deian Salazar,Candace Avalos,Michael (Mike) Sands,Steph Routh,Jamie Dunphy,Peggy Sue Owens
Peggy Sue Owens,,,,,
Terrence Hayes,Noah Ernst,Candace Avalos,Loretta Smith,Steph Routh,
Doug Clove,Timur Ender,Candace Avalos,David Linn,Noah Ernst,Deian Salazar
David Linn,,,,,
Terrence Hayes,Noah Ernst,Joe Furi,Loretta Smith,Doug Clove,
Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn,
Steph Routh,Candace Avalos,Peggy Sue Owens,David Linn,Joe Furi,Thomas Shervey
Loretta Smith,Candace Avalos,Deian Salazar,Steph Routh,Terrence Hayes,Thomas Shervey
Timur Ender,Candace Avalos,Terrence Hayes,David Linn,Steph Routh,
Terrence Hayes,Candace Avalos,Loretta Smith,Steph Routh,Jamie Dunphy,
Candace Avalos,Terrence Hayes,Cayle Tern,,,
Noah Ernst,Doug Clove,Joe Allen,Loretta Smith,Peggy Sue Owens,Joe Furi
Jamie Dunphy,Steph Routh,Loretta Smith,Timur Ender,,
David Linn,Jamie Dunphy,Candace Avalos,Loretta Smith,,
Loretta Smith,Joe Furi,Timur Ender,Peggy Sue Owens,David Linn,Jamie Dunphy
Michael (Mike) Sands,Timur Ender,Thomas Shervey,Terrence Hayes,,
Candace Avalos,Peggy Sue Owens,Doug Clove,Jamie Dunphy,,
Loretta Smith,Steph Routh,Candace Avalos,Peggy Sue Owens,Cayle Tern,Jamie Dunphy
Doug Clove,Noah Ernst,Jamie Dunphy,,,
Timur Ender,Jamie Dunphy,Candace Avalos,Steph Routh,Peggy Sue Owens,Noah Ernst
Terrence Hayes,,,,,
Jamie Dunphy,Candace Avalos,David Linn,,,
Noah Ernst,Doug Clove,Deian Salazar,,,
Candace Avalos,Steph Routh,Timur Ender,,,
Terrence Hayes,Deian Salazar,,,,
Terrence Hayes,Deian Salazar,Noah Ernst,Cayle Tern,Steph Routh,Jamie Dunphy
Loretta Smith,Jamie Dunphy,Noah Ernst,Terrence Hayes,Candace Avalos,Steph Routh
Noah Ernst,,,,,
Timur Ender,Terrence Hayes,Jamie Dunphy,Steph Routh,Thomas Shervey,
Steph Routh,Candace Avalos,Timur Ender,Terrence Hayes,Noah Ernst,David Linn
Jamie Dunphy,Loretta Smith,Steph Routh,Timur Ender,,
Deian Salazar,,,,,
Loretta Smith,,,,,
Loretta Smith,Timur Ender,Candace Avalos,Steph Routh,Cayle Tern,Jamie Dunphy
Joe Allen,Terrence Hayes,Noah Ernst,Steph Routh,Timur Ender,Candace Avalos
Steph Routh,Timur Ender,Candace Avalos,Jamie Dunphy,Terrence Hayes,
Timur Ender,Candace Avalos,Cayle Tern,Thomas Shervey,Terrence Hayes,
Jamie Dunphy,Candace Avalos,Steph Routh,David Linn,Noah Ernst,Loretta Smith
Noah Ernst,Cayle Tern,Deian Salazar,Steph Routh,Loretta Smith,Joe Furi
Loretta Smith,,,,,
Doug Clove,Joe Furi,,,,
Doug Clove,,,,,
Michael (Mike) Sands,David Linn,Peggy Sue Owens,Deian Salazar,Joe Furi,
Terrence Hayes,,,,,
Candace Avalos,Loretta Smith,Steph Routh,Doug Clove,Terrence Hayes,Cayle Tern
Candace Avalos,David Linn,Deian Salazar,Loretta Smith,Peggy Sue Owens,Michael (Mike) Sands
Terrence Hayes,Noah Ernst,Deian Salazar,Candace Avalos,,
Terrence Hayes,Loretta Smith,,,,
Loretta Smith,Candace Avalos,Terrence Hayes,,,
Candace Avalos,Steph Routh,Loretta Smith,Timur Ender,Cayle Tern,Jamie Dunphy
,,,,,
Jamie Dunphy,Steph Routh,Candace Avalos,Doug Clove,,
Timur Ender,Loretta Smith,Deian Salazar,Steph Routh,Jamie Dunphy,Doug Clove
Timur Ender,Cayle Tern,Doug Clove,Terrence Hayes,Loretta Smith,
Noah Ernst,,,,,
Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
Candace Avalos,Timur Ender,Jamie Dunphy,Cayle Tern,,
Steph Routh,Timur Ender,Noah Ernst,Loretta Smith,Candace Avalos,Terrence Hayes
Joe Allen,Peggy Sue Owens,Cayle Tern,Michael (Mike) Sands,Loretta Smith,Candace Avalos
Candace Avalos,Loretta Smith,Deian Salazar,Noah Ernst,,
Noah Ernst,Joe Allen,David Linn,Loretta Smith,Terrence Hayes,Joe Furi
Jamie Dunphy,Candace Avalos,Cayle Tern,,,
Terrence Hayes,Steph Routh,Jamie Dunphy,Noah Ernst,Loretta Smith,David Linn
Candace Avalos,,,,,
Steph Routh,Terrence Hayes,Noah Ernst,,,
Jamie Dunphy,,,,,
Jamie Dunphy,Candace Avalos,Steph Routh,Timur Ender,Noah Ernst,David Linn
Timur Ender,David Linn,,,,
Timur Ender,Candace Avalos,Michael (Mike) Sands,Thomas Shervey,Terrence Hayes,Steph Routh
Terrence Hayes,Noah Ernst,Doug Clove,,,
Loretta Smith,Terrence Hayes,Noah Ernst,Peggy Sue Owens,Michael (Mike) Sands,Joe Allen
Candace Avalos,Terrence Hayes,Cayle Tern,,,
Steph Routh,Timur Ender,Candace Avalos,David Linn,Cayle Tern,
Jamie Dunphy,Candace Avalos,Timur Ender,Noah Ernst,Steph Routh,
Candace Avalos,Doug Clove,Joe Allen,Loretta Smith,,
Noah Ernst,Terrence Hayes,Joe Furi,David Linn,Jamie Dunphy,Michael (Mike) Sands
Jamie Dunphy,Loretta Smith,Noah Ernst,Candace Avalos,,
Timur Ender,Michael (Mike) Sands,Candace Avalos,David Linn,Doug Clove,Steph Routh
Cayle Tern,Jamie Dunphy,Candace Avalos,Steph Routh,,
Noah Ernst,Terrence Hayes,Michael (Mike) Sands,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Noah Ernst,Terrence Hayes,Loretta Smith,Candace Avalos,Steph Routh,Timur Ender
Jamie Dunphy,Joe Allen,,,,
Loretta Smith,Terrence Hayes,Steph Routh,Michael (Mike) Sands,Joe Furi,Joe Allen
Timur Ender,Noah Ernst,Steph Routh,Jamie Dunphy,Terrence Hayes,Candace Avalos
,,,,,
Loretta Smith,,,,,
Jamie Dunphy,Timur Ender,Candace Avalos,Terrence Hayes,Deian Salazar,Steph Routh
Deian Salazar,Timur Ender,,,,
Candace Avalos,Joe Furi,Steph Routh,,,
Steph Routh,Jamie Dunphy,Candace Avalos,,,
Timur Ender,Loretta Smith,Steph Routh,Candace Avalos,Terrence Hayes,Jamie Dunphy
Joe Allen,Peggy Sue Owens,Noah Ernst,,,
Candace Avalos,,,,,
Steph Routh,Candace Avalos,Joe Allen,Noah Ernst,Loretta Smith,Cayle Tern
Jamie Dunphy,Steph Routh,Loretta Smith,Timur Ender,Candace Avalos,Noah Ernst
David Linn,Candace Avalos,Steph Routh,,,
Jamie Dunphy,Candace Avalos,Steph Routh,David Linn,Noah Ernst,Loretta Smith
Doug Clove,Deian Salazar,Thomas Shervey,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Loretta Smith,Candace Avalos,Peggy Sue Owens,,,
Deian Salazar,Joe Furi,Noah Ernst,Doug Clove,Terrence Hayes,Michael (Mike) Sands
,,,,,
Steph Routh,Timur Ender,Jamie Dunphy,Michael (Mike) Sands,Loretta Smith,Candace Avalos
Joe Allen,Timur Ender,,,,
Candace Avalos,Steph Routh,David Linn,,,
Loretta Smith,,,,,
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
Candace Avalos,Jamie Dunphy,Steph Routh,,,
David Linn,Candace Avalos,Joe Furi,Deian Salazar,Timur Ender,Cayle Tern
Joe Allen,Candace Avalos,Joe Furi,Cayle Tern,Peggy Sue Owens,Thomas Shervey
Steph Routh,Candace Avalos,Jamie Dunphy,Timur Ender,,
Timur Ender,Candace Avalos,Joe Furi,Michael (Mike) Sands,Terrence Hayes,
Candace Avalos,Timur Ender,Steph Routh,,,
Jamie Dunphy,,,,,
Candace Avalos,Cayle Tern,Timur Ender,Loretta Smith,Terrence Hayes,Steph Routh
Noah Ernst,,,,,
Doug Clove,Loretta Smith,Timur Ender,Jamie Dunphy,,
Loretta Smith,Steph Routh,Candace Avalos,Michael (Mike) Sands,,
Jamie Dunphy,Candace Avalos,Cayle Tern,Timur Ender,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,Doug Clove,Joe Allen
David Linn,Cayle Tern,Candace Avalos,Jamie Dunphy,Timur Ender,Steph Routh
Noah Ernst,Jamie Dunphy,,,,
Jamie Dunphy,Noah Ernst,Joe Furi,Thomas Shervey,Terrence Hayes,Doug Clove
Terrence Hayes,Timur Ender,Jamie Dunphy,David Linn,Michael (Mike) Sands,
Loretta Smith,Terrence Hayes,,,,
Steph Routh,Cayle Tern,David Linn,,,
Peggy Sue Owens,Jamie Dunphy,Michael (Mike) Sands,,,
Steph Routh,Loretta Smith,Cayle Tern,,,
Terrence Hayes,Steph Routh,Jamie Dunphy,Cayle Tern,Joe Allen,Loretta Smith
Loretta Smith,,,,,
Noah Ernst,,,,,
Candace Avalos,Cayle Tern,Deian Salazar,Jamie Dunphy,David Linn,Loretta Smith
Candace Avalos,Jamie Dunphy,Steph Routh,Timur Ender,Deian Salazar,Terrence Hayes
David Linn,Michael (Mike) Sands,Thomas Shervey,Steph Routh,Doug Clove,Joe Allen
Candace Avalos,Loretta Smith,Joe Allen,,,
Candace Avalos,Timur Ender,Noah Ernst,Terrence Hayes,Peggy Sue Owens,Steph Routh
Jamie Dunphy,Candace Avalos,Terrence Hayes,Thomas Shervey,Loretta Smith,
Timur Ender,Candace Avalos,Terrence Hayes,Jamie Dunphy,Steph Routh,Cayle Tern
Loretta Smith,Steph Routh,,,,
Loretta Smith,Terrence Hayes,Deian Salazar,Candace Avalos,Jamie Dunphy,Cayle Tern
Candace Avalos,Timur Ender,Steph Routh,Terrence Hayes,Jamie Dunphy,Cayle Tern
Loretta Smith,Terrence Hayes,Noah Ernst,Jamie Dunphy,,
Candace Avalos,Jamie Dunphy,Timur Ender,Loretta Smith,,
Timur Ender,Candace Avalos,Steph Routh,Jamie Dunphy,Deian Salazar,David Linn
Candace Avalos,Timur Ender,Cayle Tern,,,
Loretta Smith,Terrence Hayes,,,,
Loretta Smith,,,,,
Terrence Hayes,,,,,
Cayle Tern,Noah Ernst,Doug Clove,Steph Routh,Deian Salazar,Thomas Shervey
Loretta Smith,Thomas Shervey,Steph Routh,Jamie Dunphy,Doug Clove,Noah Ernst
David Linn,Cayle Tern,Doug Clove,Candace Avalos,Noah Ernst,Deian Salazar
Timur Ender,Terrence Hayes,Joe Allen,Candace Avalos,Steph Routh,Michael (Mike) Sands
Loretta Smith,Candace Avalos,Thomas Shervey,Steph Routh,Terrence Hayes,Jamie Dunphy
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,Deian Salazar,Terrence Hayes
Terrence Hayes,Jamie Dunphy,,,,
Candace Avalos,Cayle Tern,Steph Routh,Jamie Dunphy,,
Loretta Smith,,,,,
David Linn,Cayle Tern,Candace Avalos,Joe Furi,Deian Salazar,Thomas Shervey
Loretta Smith,Candace Avalos,David Linn,,,
Timur Ender,Steph Routh,,,,
David Linn,Timur Ender,,,,
Jamie Dunphy,Joe Allen,Steph Routh,Candace Avalos,David Linn,Loretta Smith
Candace Avalos,Loretta Smith,Steph Routh,Terrence Hayes,Deian Salazar,Cayle Tern
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
Steph Routh,Candace Avalos,Jamie Dunphy,,,
Jamie Dunphy,Steph Routh,,,,
Noah Ernst,Doug Clove,Terrence Hayes,,,
Candace Avalos,Timur Ender,Steph Routh,,,
Candace Avalos,,,,,
Candace Avalos,Loretta Smith,Terrence Hayes,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Timur Ender,David Linn,Jamie Dunphy,Doug Clove,Thomas Shervey,Candace Avalos
Loretta Smith,Terrence Hayes,Steph Routh,Thomas Shervey,Deian Salazar,Timur Ender
Loretta Smith,Jamie Dunphy,Michael (Mike) Sands,Peggy Sue Owens,Cayle Tern,Thomas Shervey
Candace Avalos,Timur Ender,Terrence Hayes,David Linn,Steph Routh,Jamie Dunphy
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Steph Routh,Candace Avalos,Jamie Dunphy,Timur Ender,,
David Linn,Candace Avalos,Loretta Smith,Timur Ender,Steph Routh,Joe Allen
Terrence Hayes,Jamie Dunphy,Steph Routh,Cayle Tern,Timur Ender,Noah Ernst
Doug Clove,Joe Furi,Noah Ernst,Terrence Hayes,,
Loretta Smith,Cayle Tern,Terrence Hayes,Candace Avalos,Deian Salazar,Noah Ernst
Steph Routh,Candace Avalos,Timur Ender,Jamie Dunphy,,
Jamie Dunphy,Steph Routh,Candace Avalos,Timur Ender,,
Loretta Smith,Timur Ender,Candace Avalos,Steph Routh,Thomas Shervey,Jamie Dunphy
Loretta Smith,Terrence Hayes,Candace Avalos,Deian Salazar,Doug Clove,Steph Routh
Michael (Mike) Sands,Loretta Smith,Jamie Dunphy,Terrence Hayes,Cayle Tern,Noah Ernst
Peggy Sue Owens,Doug Clove,Noah Ernst,,,
Noah Ernst,David Linn,Steph Routh,,,
Jamie Dunphy,Michael (Mike) Sands,Peggy Sue Owens,Doug Clove,Thomas Shervey,Candace Avalos
Peggy Sue Owens,Candace Avalos,Loretta Smith,Cayle Tern,Timur Ender,Write-in-120
Candace Avalos,Timur Ender,Steph Routh,David Linn,Jamie Dunphy,Cayle Tern
Peggy Sue Owens,Loretta Smith,Cayle Tern,Jamie Dunphy,Deian Salazar,Steph Routh
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Loretta Smith,Steph Routh,Candace Avalos,Cayle Tern,Michael (Mike) Sands,Doug Clove
Candace Avalos,Cayle Tern,Steph Routh,Timur Ender,,
Terrence Hayes,Deian Salazar,Loretta Smith,,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Jamie Dunphy,Steph Routh,Joe Furi,,,
Candace Avalos,Cayle Tern,Doug Clove,Jamie Dunphy,Timur Ender,Steph Routh
Candace Avalos,Timur Ender,Steph Routh,,,
Terrence Hayes,Noah Ernst,Loretta Smith,Joe Allen,Joe Furi,Timur Ender
Loretta Smith,Terrence Hayes,Cayle Tern,,,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
Joe Allen,Loretta Smith,Terrence Hayes,Jamie Dunphy,Candace Avalos,David Linn
Loretta Smith,Peggy Sue Owens,Candace Avalos,David Linn,Thomas Shervey,Steph Routh
Loretta Smith,Terrence Hayes,Candace Avalos,,,
Steph Routh,Loretta Smith,Timur Ender,Candace Avalos,Deian Salazar,Jamie Dunphy
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,Cayle Tern,Noah Ernst
Terrence Hayes,Michael (Mike) Sands,Thomas Shervey,Jamie Dunphy,Loretta Smith,Candace Avalos
Timur Ender,Loretta Smith,Candace Avalos,Michael (Mike) Sands,Thomas Shervey,Steph Routh
Candace Avalos,Michael (Mike) Sands,David Linn,Joe Furi,Doug Clove,Deian Salazar
Jamie Dunphy,Terrence Hayes,Thomas Shervey,,,
Candace Avalos,Cayle Tern,Terrence Hayes,Loretta Smith,Deian Salazar,Steph Routh
Loretta Smith,Terrence Hayes,Noah Ernst,,,
Steph Routh,Candace Avalos,Joe Allen,,,
Terrence Hayes,Loretta Smith,Timur Ender,Thomas Shervey,Joe Allen,Candace Avalos
Noah Ernst,,,,,
Steph Routh,Timur Ender,Cayle Tern,Loretta Smith,,
Noah Ernst,Loretta Smith,Terrence Hayes,Jamie Dunphy,Timur Ender,
Candace Avalos,Terrence Hayes,,,,
Doug Clove,Steph Routh,Loretta Smith,Joe Furi,David Linn,Cayle Tern
Loretta Smith,Timur Ender,Candace Avalos,,,
Noah Ernst,,,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Timur Ender,,,,,
Steph Routh,Candace Avalos,,,,
Doug Clove,,,,,
Candace Avalos,Timur Ender,Steph Routh,Cayle Tern,,
Steph Routh,Timur Ender,,,,
Jamie Dunphy,Loretta Smith,Steph Routh,Terrence Hayes,Deian Salazar,Candace Avalos
Candace Avalos,Steph Routh,Timur Ender,Cayle Tern,Jamie Dunphy,David Linn
Jamie Dunphy,Timur Ender,Steph Routh,Candace Avalos,Joe Furi,Cayle Tern
Candace Avalos,,,,,
Loretta Smith,Terrence Hayes,Deian Salazar,David Linn,Peggy Sue Owens,Joe Furi
Doug Clove,Steph Routh,Loretta Smith,Candace Avalos,,
Cayle Tern,Jamie Dunphy,Timur Ender,,,
Jamie Dunphy,Timur Ender,Steph Routh,Candace Avalos,Deian Salazar,
Candace Avalos,Cayle Tern,Timur Ender,,,
,,,,,
Terrence Hayes,Steph Routh,Jamie Dunphy,,,
Terrence Hayes,Timur Ender,Loretta Smith,Jamie Dunphy,Candace Avalos,Steph Routh
Cayle Tern,,,,,
Timur Ender,Jamie Dunphy,,,,
Timur Ender,Candace Avalos,Cayle Tern,Terrence Hayes,Jamie Dunphy,
Jamie Dunphy,Terrence Hayes,Loretta Smith,Doug Clove,Timur Ender,Joe Allen
Timur Ender,Noah Ernst,Joe Furi,Steph Routh,,
Michael (Mike) Sands,,,,,
Noah Ernst,Joe Allen,Terrence Hayes,Doug Clove,Timur Ender,Joe Furi
Joe Allen,,,,,
David Linn,,,,,
Cayle Tern,,,,,
Terrence Hayes,Steph Routh,Jamie Dunphy,Candace Avalos,Peggy Sue Owens,Deian Salazar
Cayle Tern,Peggy Sue Owens,Loretta Smith,Steph Routh,Joe Allen,
Jamie Dunphy,Steph Routh,Joe Furi,,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
Doug Clove,Noah Ernst,David Linn,,,
Terrence Hayes,Doug Clove,Jamie Dunphy,Joe Furi,Joe Allen,Candace Avalos
Terrence Hayes,Noah Ernst,Candace Avalos,Jamie Dunphy,David Linn,Cayle Tern
Doug Clove,Timur Ender,David Linn,Jamie Dunphy,Thomas Shervey,
Noah Ernst,Doug Clove,Joe Furi,,,
David Linn,,,,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Deian Salazar,Terrence Hayes,David Linn,Cayle Tern,Candace Avalos,Noah Ernst
Jamie Dunphy,Candace Avalos,Steph Routh,Write-in-120,Write-in-121,Write-in-122
Loretta Smith,,,,,
Peggy Sue Owens,Candace Avalos,Loretta Smith,Jamie Dunphy,Cayle Tern,Terrence Hayes
Noah Ernst,,,,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
Steph Routh,Timur Ender,Jamie Dunphy,Candace Avalos,Deian Salazar,Cayle Tern
Joe Furi,Deian Salazar,Terrence Hayes,Jamie Dunphy,,
Doug Clove,Joe Furi,Thomas Shervey,Steph Routh,,
Doug Clove,Terrence Hayes,Thomas Shervey,Joe Allen,Joe Furi,Michael (Mike) Sands
Candace Avalos,Timur Ender,Steph Routh,,,
Timur Ender,Terrence Hayes,,,,
Candace Avalos,Steph Routh,Michael (Mike) Sands,Jamie Dunphy,Timur Ender,Loretta Smith
Cayle Tern,Jamie Dunphy,,,,
Timur Ender,Joe Allen,Jamie Dunphy,,,
Jamie Dunphy,Candace Avalos,Steph Routh,David Linn,Loretta Smith,
,,,,,
Doug Clove,Loretta Smith,Terrence Hayes,Deian Salazar,Joe Furi,Steph Routh
Timur Ender,Loretta Smith,Steph Routh,Jamie Dunphy,Terrence Hayes,Doug Clove
Steph Routh,Terrence Hayes,Jamie Dunphy,David Linn,Timur Ender,Candace Avalos
Noah Ernst,Joe Allen,David Linn,,,
Timur Ender,Doug Clove,Cayle Tern,Jamie Dunphy,Loretta Smith,Terrence Hayes
Steph Routh,Timur Ender,Candace Avalos,Jamie Dunphy,David Linn,
Noah Ernst,Steph Routh,Doug Clove,Loretta Smith,,
Timur Ender,Terrence Hayes,Candace Avalos,Steph Routh,David Linn,Jamie Dunphy
Timur Ender,Steph Routh,Jamie Dunphy,Candace Avalos,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
Peggy Sue Owens,Steph Routh,Deian Salazar,Joe Furi,David Linn,Noah Ernst
Loretta Smith,Terrence Hayes,,,,
Candace Avalos,Loretta Smith,Jamie Dunphy,,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Peggy Sue Owens,Terrence Hayes,,,,
Terrence Hayes,Michael (Mike) Sands,Cayle Tern,David Linn,Peggy Sue Owens,Jamie Dunphy
Peggy Sue Owens,,,,,
Steph Routh,Noah Ernst,Terrence Hayes,Candace Avalos,Timur Ender,Cayle Tern
Terrence Hayes,Jamie Dunphy,Steph Routh,Thomas Shervey,Loretta Smith,
Candace Avalos,Loretta Smith,Timur Ender,Steph Routh,Jamie Dunphy,
Candace Avalos,Steph Routh,Doug Clove,Terrence Hayes,Joe Allen,Loretta Smith
Noah Ernst,Joe Allen,,,,
Jamie Dunphy,Steph Routh,Loretta Smith,Candace Avalos,Timur Ender,Cayle Tern
Candace Avalos,David Linn,Jamie Dunphy,Steph Routh,Doug Clove,Deian Salazar
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Candace Avalos,Steph Routh,Loretta Smith,Timur Ender,Jamie Dunphy,Noah Ernst
Loretta Smith,Jamie Dunphy,Candace Avalos,Cayle Tern,Timur Ender,David Linn
David Linn,Loretta Smith,Timur Ender,Steph Routh,Jamie Dunphy,Terrence Hayes
Doug Clove,Timur Ender,,,,
Candace Avalos,Terrence Hayes,Loretta Smith,Michael (Mike) Sands,,
Doug Clove,David Linn,,,,
Candace Avalos,Loretta Smith,Terrence Hayes,Steph Routh,Jamie Dunphy,Deian Salazar
Loretta Smith,Michael (Mike) Sands,David Linn,Timur Ender,Doug Clove,
Steph Routh,Jamie Dunphy,Candace Avalos,,,
Cayle Tern,Candace Avalos,Michael (Mike) Sands,,,
Jamie Dunphy,Steph Routh,Loretta Smith,Noah Ernst,Deian Salazar,Doug Clove
Loretta Smith,,,,,
Steph Routh,David Linn,Timur Ender,,,
Doug Clove,Candace Avalos,Timur Ender,,,
Timur Ender,,,,,
Candace Avalos,Timur Ender,Jamie Dunphy,Steph Routh,Cayle Tern,
Noah Ernst,Terrence Hayes,Loretta Smith,Joe Furi,Doug Clove,Jamie Dunphy
Jamie Dunphy,Timur Ender,Terrence Hayes,Candace Avalos,Loretta Smith,Steph Routh
Candace Avalos,Terrence Hayes,Loretta Smith,,,
Terrence Hayes,David Linn,Timur Ender,Noah Ernst,Steph Routh,Deian Salazar
Noah Ernst,Michael (Mike) Sands,Doug Clove,Deian Salazar,Joe Furi,Terrence Hayes
Doug Clove,Terrence Hayes,Steph Routh,,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
Terrence Hayes,Noah Ernst,Doug Clove,,,
Doug Clove,Timur Ender,Peggy Sue Owens,Deian Salazar,Candace Avalos,Jamie Dunphy
Steph Routh,Candace Avalos,Terrence Hayes,,,
Candace Avalos,Terrence Hayes,Loretta Smith,Steph Routh,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Peggy Sue Owens,Timur Ender,Noah Ernst,Candace Avalos,Joe Allen,David Linn
Joe Allen,Joe Furi,,,,
Deian Salazar,,,,,
